Admin0,Admin1,Population,Year,Dataset
Afghanistan,,28392133,2018,LandScan Global
Albania,,3035641,2018,LandScan Global
Algeria,,41608812,2018,LandScan Global
Angola,,30330976,2018,LandScan Global
Argentina,,44653626,2018,LandScan Global
Armenia,,3035091,2018,LandScan Global
Australia,,23283442,2018,LandScan Global
Austria,,8795668,2018,LandScan Global
Bangladesh,,160259679,2018,LandScan Global
Belarus,,9530365,2018,LandScan Global
Belgium,,11547674,2018,LandScan Global
Belize,,382550,2018,LandScan Global
Benin,,11296078,2018,LandScan Global
Bolivia,,11287802,2018,LandScan Global
Bosnia and Herzegovina,,3861336,2018,LandScan Global
Brazil,,206890106,2018,LandScan Global
Brunei,,447936,2018,LandScan Global
Bulgaria,,7031916,2018,LandScan Global
Burkina Faso,,19714698,2018,LandScan Global
Burma,,54528891,2018,LandScan Global
Burundi,,11856419,2018,LandScan Global
Cambodia,,16386962,2018,LandScan Global
Cameroon,,25668908,2018,LandScan Global
Canada,,35519369,2018,LandScan Global
Central African Republic,,5705511,2018,LandScan Global
Chad,,15798858,2018,LandScan Global
Chile,,17755790,2018,LandScan Global
China,,1380915609,2018,LandScan Global
Colombia,,47922191,2018,LandScan Global
Comoros,,788866,2018,LandScan Global
Costa Rica,,4975506,2018,LandScan Global
Ivory Coast,,26141387,2018,LandScan Global
Croatia,,4119891,2018,LandScan Global
Cuba,,11041477,2018,LandScan Global
Czechia,,10712978,2018,LandScan Global
Denmark,,5594417,2018,LandScan Global
Disputed Territory,,3728,2018,LandScan Global
Djibouti,,838739,2018,LandScan Global
Ecuador,,16441257,2018,LandScan Global
Egypt,,99327730,2018,LandScan Global
El Salvador,,6134660,2018,LandScan Global
Eritrea,,5947211,2018,LandScan Global
Estonia,,1231033,2018,LandScan Global
Ethiopia,,110695603,2018,LandScan Global
Falkland Islands,,3067,2018,LandScan Global
Federated States of Micronesia,,87451,2018,LandScan Global
France,,64841709,2018,LandScan Global
Gabon,,2111797,2018,LandScan Global
Georgia,,4910799,2018,LandScan Global
Germany,,80219150,2018,LandScan Global
Ghana,,27577027,2018,LandScan Global
Gibraltar,,34989,2018,LandScan Global
Guatemala,,16510513,2018,LandScan Global
Guinea,,11750025,2018,LandScan Global
Guinea-Bissau,,1820886,2018,LandScan Global
Guyana,,736999,2018,LandScan Global
Haiti,,10491944,2018,LandScan Global
Honduras,,9100158,2018,LandScan Global
Hungary,,9850470,2018,LandScan Global
India,,1295784885,2018,LandScan Global
Indonesia,,260464573,2018,LandScan Global
Iran,,82866155,2018,LandScan Global
Iraq,,40750212,2018,LandScan Global
Israel,,8364470,2018,LandScan Global
Italy,,61525881,2018,LandScan Global
Jamaica,,2737915,2018,LandScan Global
Japan,,125146747,2018,LandScan Global
Jordan,,9897275,2018,LandScan Global
Kuwait,,2914794,2018,LandScan Global
Laos,,7132747,2018,LandScan Global
Lesotho,,1947338,2018,LandScan Global
Liberia,,4734883,2018,LandScan Global
Libya,,6742596,2018,LandScan Global
Madagascar,,25516572,2018,LandScan Global
Malaysia,,31325867,2018,LandScan Global
Mali,,18413380,2018,LandScan Global
Mauritania,,3774869,2018,LandScan Global
Mauritius,,1352396,2018,LandScan Global
Mexico,,125323612,2018,LandScan Global
Moldova,,3437698,2018,LandScan Global
Mongolia,,3106079,2018,LandScan Global
Namibia,,2566610,2018,LandScan Global
Netherlands,,17000599,2018,LandScan Global
Nicaragua,,6056319,2018,LandScan Global
Niger,,19716401,2018,LandScan Global
Nigeria,,203217298,2018,LandScan Global
Norfolk Island,,1618,2018,LandScan Global
North Korea,,25280115,2018,LandScan Global
Norway,,5199151,2018,LandScan Global
Oman,,4594283,2018,LandScan Global
Pakistan,,207747201,2018,LandScan Global
Panama,,3754717,2018,LandScan Global
Paraguay,,7030856,2018,LandScan Global
Peru,,30996031,2018,LandScan Global
Poland,,38378579,2018,LandScan Global
Republic of the Congo,,5068441,2018,LandScan Global
Rwanda,,12191544,2018,LandScan Global
Saint Barthelemy,,5301,2018,LandScan Global
Saint Pierre and Miquelon,,5273,2018,LandScan Global
Sao Tome and Principe,,200272,2018,LandScan Global
Saudi Arabia,,33019053,2018,LandScan Global
Senegal,,14875363,2018,LandScan Global
Serbia,,7073155,2018,LandScan Global
Slovakia,,5431330,2018,LandScan Global
Solomon Islands,,592600,2018,LandScan Global
Somalia,,11122853,2018,LandScan Global
South Africa,,55010958,2018,LandScan Global
South Korea,,51196560,2018,LandScan Global
Sri Lanka,,22494905,2018,LandScan Global
Sudan,,43072777,2018,LandScan Global
Suriname,,608910,2018,LandScan Global
Svalbard,,2149,2018,LandScan Global
Eswatini,,1089041,2018,LandScan Global
Sweden,,9912375,2018,LandScan Global
Switzerland,,8245896,2018,LandScan Global
Syria,,18796532,2018,LandScan Global
Thailand,,68605696,2018,LandScan Global
Timor-Leste,,1318645,2018,LandScan Global
Togo,,7972898,2018,LandScan Global
Tonga,,99695,2018,LandScan Global
Tunisia,,11460337,2018,LandScan Global
Turkey,,81514113,2018,LandScan Global
Tuvalu,,7056,2018,LandScan Global
Uganda,,40616816,2018,LandScan Global
Ukraine,,43824273,2018,LandScan Global
United Arab Emirates,,9649963,2018,LandScan Global
United States,,326475014,2018,LandScan Global
Uruguay,,3324819,2018,LandScan Global
Uzbekistan,,29962922,2018,LandScan Global
Vanuatu,,255449,2018,LandScan Global
Venezuela,,31561815,2018,LandScan Global
Vietnam,,96695840,2018,LandScan Global
Yemen,,28530280,2018,LandScan Global
Zambia,,16569677,2018,LandScan Global
Zimbabwe,,14035637,2018,LandScan Global
New Zealand,,4340747,2018,LandScan Global
Finland,,5460705,2018,LandScan Global
Romania,,21506987,2018,LandScan Global
Russia,,141739649,2018,LandScan Global
Portugal,,10153405,2018,LandScan Global
Spain,,48209267,2018,LandScan Global
United Kingdom,,64387883,2018,LandScan Global
Barbados,,272092,2018,LandScan Global
Botswana,,2232626,2018,LandScan Global
Democratic Republic of the Congo,,85260214,2018,LandScan Global
Kazakhstan,,18686832,2018,LandScan Global
Kyrgyzstan,,5857366,2018,LandScan Global
Lebanon,,6245408,2018,LandScan Global
Liechtenstein,,37261,2018,LandScan Global
North Macedonia,,2119462,2018,LandScan Global
Maldives,,228192,2018,LandScan Global
Papua New Guinea,,6696363,2018,LandScan Global
Qatar,,2359323,2018,LandScan Global
Tanzania,,54828941,2018,LandScan Global
Turkmenistan,,5407772,2018,LandScan Global
Vatican,,5330,2018,LandScan Global
Morocco,,34875737,2018,LandScan Global
Azerbaijan,,9957749,2018,LandScan Global
Antigua and Barbuda,,91418,2018,LandScan Global
Cape Verde,,505227,2018,LandScan Global
Cyprus,,1186295,2018,LandScan Global
Dominica,,55398,2018,LandScan Global
Dominican Republic,,10019534,2018,LandScan Global
Fiji,,895896,2018,LandScan Global
Latvia,,1916623,2018,LandScan Global
Malta,,429447,2018,LandScan Global
Marshall Islands,,26245,2018,LandScan Global
Nauru,,7343,2018,LandScan Global
Nepal,,29267889,2018,LandScan Global
Palau,,15667,2018,LandScan Global
Saint Kitts and Nevis,,38689,2018,LandScan Global
Saint Lucia,,148451,2018,LandScan Global
Saint Vincent and the Grenadines,,84684,2018,LandScan Global
Samoa,,180850,2018,LandScan Global
Seychelles,,82200,2018,LandScan Global
Singapore,,5917211,2018,LandScan Global
South Sudan,,13460940,2018,LandScan Global
Bahamas,,307340,2018,LandScan Global
Trinidad and Tobago,,1188131,2018,LandScan Global
West Bank/Gaza Strip,,4611729,2018,LandScan Global
Andorra,,84769,2018,LandScan Global
Bahrain,,1365202,2018,LandScan Global
Bhutan,,726255,2018,LandScan Global
Equatorial Guinea,,796569,2018,LandScan Global
Greece,,10448613,2018,LandScan Global
Grenada,,105385,2018,LandScan Global
Iceland,,320652,2018,LandScan Global
Ireland,,4991005,2018,LandScan Global
Kenya,,48085870,2018,LandScan Global
Lithuania,,2788163,2018,LandScan Global
Luxembourg,,579597,2018,LandScan Global
Mozambique,,27165406,2018,LandScan Global
Montenegro,,583355,2018,LandScan Global
San Marino,,31599,2018,LandScan Global
Sierra Leone,,6247244,2018,LandScan Global
Taiwan,,23353704,2018,LandScan Global
Tajikistan,,8571136,2018,LandScan Global
Gambia,,2049807,2018,LandScan Global
Akrotiri and Dhekelia,,21313,2018,LandScan Global
American Samoa,,42482,2018,LandScan Global
Bermuda,,52473,2018,LandScan Global
Cayman Islands,,49183,2018,LandScan Global
Cook Islands,,6558,2018,LandScan Global
French Guiana,,273555,2018,LandScan Global
French Polynesia,,227638,2018,LandScan Global
Greenland,,43881,2018,LandScan Global
Guadeloupe,,358702,2018,LandScan Global
Guam,,159793,2018,LandScan Global
Guernsey,,64300,2018,LandScan Global
Hong Kong,,6778841,2018,LandScan Global
Isle of Man,,81288,2018,LandScan Global
Jersey,,82612,2018,LandScan Global
Macau,,615079,2018,LandScan Global
Martinique,,315551,2018,LandScan Global
Montserrat,,5228,2018,LandScan Global
Curacao,,139496,2018,LandScan Global
Kiribati,,43140,2018,LandScan Global
Reunion,,820155,2018,LandScan Global
New Caledonia,,239813,2018,LandScan Global
Niue,,1474,2018,LandScan Global
Northern Mariana Islands,,49370,2018,LandScan Global
Puerto Rico,,3255027,2018,LandScan Global
"Saint Helena, Ascension, and Tristan Da Cunha",,7812,2018,LandScan Global
Sint Eustatius,,2722,2018,LandScan Global
Saint Martin,,29949,2018,LandScan Global
Sint Maarten,,37613,2018,LandScan Global
Tokelau,,143,2018,LandScan Global
Turks and Caicos Islands,,47361,2018,LandScan Global
United States Virgin Islands,,98528,2018,LandScan Global
Wallis and Futuna,,10782,2018,LandScan Global
Anguilla,,15245,2018,LandScan Global
Kosovo,,1906416,2018,LandScan Global
Faroe Islands,,41204,2018,LandScan Global
Malawi,,19653483,2018,LandScan Global
Philippines,,102273218,2018,LandScan Global
Slovenia,,2091186,2018,LandScan Global
British Virgin Islands,,32056,2018,LandScan Global
Christmas Island,,2205,2018,LandScan Global
Cocos (Keeling) Islands,,354,2018,LandScan Global
Midway Islands,,15,2018,LandScan Global
Monaco,,29705,2018,LandScan Global
Aruba,,97377,2018,LandScan Global
Bonaire,,16375,2018,LandScan Global
Mayotte,,217490,2018,LandScan Global
Saba,,1787,2018,LandScan Global
Afghanistan,Badakhshan,623886,2018,LandScan Global
Afghanistan,Badghis,546457,2018,LandScan Global
Afghanistan,Baghlan,800547,2018,LandScan Global
Afghanistan,Balkh,1577604,2018,LandScan Global
Afghanistan,Bamyan,275477,2018,LandScan Global
Afghanistan,Daykundi,309704,2018,LandScan Global
Afghanistan,Farah,780063,2018,LandScan Global
Afghanistan,Faryab,954392,2018,LandScan Global
Afghanistan,Ghazni,1387750,2018,LandScan Global
Afghanistan,Ghor,741967,2018,LandScan Global
Afghanistan,Helmand,1502392,2018,LandScan Global
Afghanistan,Herat,2338781,2018,LandScan Global
Afghanistan,Jowzjan,649058,2018,LandScan Global
Afghanistan,Kabul,4704484,2018,LandScan Global
Afghanistan,Kandahar,1480096,2018,LandScan Global
Afghanistan,Kapisa,266129,2018,LandScan Global
Afghanistan,Khost,862220,2018,LandScan Global
Afghanistan,Kunar,196452,2018,LandScan Global
Afghanistan,Kunduz,1274526,2018,LandScan Global
Afghanistan,Laghman,282410,2018,LandScan Global
Afghanistan,Logar,315712,2018,LandScan Global
Afghanistan,Nangarhar,1093636,2018,LandScan Global
Afghanistan,Nimroz,314027,2018,LandScan Global
Afghanistan,Nuristan,43609,2018,LandScan Global
Afghanistan,Paktika,705089,2018,LandScan Global
Afghanistan,Paktiya,498836,2018,LandScan Global
Afghanistan,Panjshir,48844,2018,LandScan Global
Afghanistan,Parwan,635571,2018,LandScan Global
Afghanistan,Samangan,363201,2018,LandScan Global
Afghanistan,Sar-e Pul,432417,2018,LandScan Global
Afghanistan,Takhar,1155264,2018,LandScan Global
Afghanistan,Uruzgan,446422,2018,LandScan Global
Afghanistan,Wardak,409408,2018,LandScan Global
Afghanistan,Zabul,375702,2018,LandScan Global
Albania,Berat,152125,2018,LandScan Global
Albania,Diber,143363,2018,LandScan Global
Albania,Durres,283829,2018,LandScan Global
Albania,Elbasan,316395,2018,LandScan Global
Albania,Fier,331459,2018,LandScan Global
Albania,Gjirokaster,76908,2018,LandScan Global
Albania,Korce,238195,2018,LandScan Global
Albania,Kukes,88950,2018,LandScan Global
Albania,Lezhe,140696,2018,LandScan Global
Albania,Shkoder,228302,2018,LandScan Global
Albania,Tirane,847627,2018,LandScan Global
Albania,Vlore,187792,2018,LandScan Global
Algeria,Adrar,481889,2018,LandScan Global
Algeria,Ain Defla,942457,2018,LandScan Global
Algeria,Ain Temouchent,443756,2018,LandScan Global
Algeria,Alger,3502577,2018,LandScan Global
Algeria,Annaba,769188,2018,LandScan Global
Algeria,Batna,1379428,2018,LandScan Global
Algeria,Bechar,331167,2018,LandScan Global
Algeria,Bejaia,1098644,2018,LandScan Global
Algeria,Biskra,880724,2018,LandScan Global
Algeria,Blida,1293298,2018,LandScan Global
Algeria,Bordj Bou Arreridj,773217,2018,LandScan Global
Algeria,Bouira,849290,2018,LandScan Global
Algeria,Boumerdes,962800,2018,LandScan Global
Algeria,Chlef,1220138,2018,LandScan Global
Algeria,Constantine,1139023,2018,LandScan Global
Algeria,Djelfa,1412944,2018,LandScan Global
Algeria,El Bayadh,279204,2018,LandScan Global
Algeria,El Oued,789530,2018,LandScan Global
Algeria,El Tarf,503359,2018,LandScan Global
Algeria,Ghardaia,454870,2018,LandScan Global
Algeria,Guelma,590209,2018,LandScan Global
Algeria,Illizi,63165,2018,LandScan Global
Algeria,Jijel,757708,2018,LandScan Global
Algeria,Khenchela,470858,2018,LandScan Global
Algeria,Laghouat,571171,2018,LandScan Global
Algeria,Mascara,952804,2018,LandScan Global
Algeria,Medea,1011149,2018,LandScan Global
Algeria,Mila,948334,2018,LandScan Global
Algeria,Mostaganem,895863,2018,LandScan Global
Algeria,M'sila,1203745,2018,LandScan Global
Algeria,Naama,238332,2018,LandScan Global
Algeria,Oran,1747004,2018,LandScan Global
Algeria,Ouargla,663778,2018,LandScan Global
Algeria,Oum el Bouaghi,781840,2018,LandScan Global
Algeria,Relizane,907765,2018,LandScan Global
Algeria,Saida,401404,2018,LandScan Global
Algeria,Setif,1831306,2018,LandScan Global
Algeria,Sidi Bel Abbes,737228,2018,LandScan Global
Algeria,Skikda,1094855,2018,LandScan Global
Algeria,Souk Ahras,533893,2018,LandScan Global
Algeria,Tamanrasset,216706,2018,LandScan Global
Algeria,Tebessa,793995,2018,LandScan Global
Algeria,Tiaret,1024100,2018,LandScan Global
Algeria,Tindouf,65050,2018,LandScan Global
Algeria,Tipaza,732079,2018,LandScan Global
Algeria,Tissemsilt,359624,2018,LandScan Global
Algeria,Tizi Ouzou,1364560,2018,LandScan Global
Algeria,Tlemcen,1142784,2018,LandScan Global
Angola,Bengo,450216,2018,LandScan Global
Angola,Benguela,2561881,2018,LandScan Global
Angola,Bie,1717077,2018,LandScan Global
Angola,Cabinda,820560,2018,LandScan Global
Angola,Cunene,1153510,2018,LandScan Global
Angola,Huambo,2395606,2018,LandScan Global
Angola,Huila,2930754,2018,LandScan Global
Angola,Kuando Kubango,609667,2018,LandScan Global
Angola,Kwanza Norte,509977,2018,LandScan Global
Angola,Kwanza Sul,2185223,2018,LandScan Global
Angola,Luanda,8270498,2018,LandScan Global
Angola,Lunda Norte,1009564,2018,LandScan Global
Angola,Lunda Sul,632002,2018,LandScan Global
Angola,Malanje,1151548,2018,LandScan Global
Angola,Moxico,887748,2018,LandScan Global
Angola,Namibe,591931,2018,LandScan Global
Angola,Uige,1745843,2018,LandScan Global
Angola,Zaire,707371,2018,LandScan Global
Argentina,Buenos Aires,17375558,2018,LandScan Global
Argentina,Catamarca,411133,2018,LandScan Global
Argentina,Chaco,1186756,2018,LandScan Global
Argentina,Chubut,586423,2018,LandScan Global
Argentina,"Buenos Aires, Ciudad Autonoma de",2979110,2018,LandScan Global
Argentina,Cordoba,3694141,2018,LandScan Global
Argentina,Corrientes,1108393,2018,LandScan Global
Argentina,Entre Rios,1365074,2018,LandScan Global
Argentina,Formosa,601956,2018,LandScan Global
Argentina,Jujuy,766921,2018,LandScan Global
Argentina,La Pampa,355089,2018,LandScan Global
Argentina,La Rioja,382565,2018,LandScan Global
Argentina,Mendoza,1954420,2018,LandScan Global
Argentina,Misiones,1243014,2018,LandScan Global
Argentina,Neuquen,644499,2018,LandScan Global
Argentina,Rio Negro,728042,2018,LandScan Global
Argentina,Salta,1398281,2018,LandScan Global
Argentina,San Juan,765592,2018,LandScan Global
Argentina,San Luis,497293,2018,LandScan Global
Argentina,Santa Cruz,337227,2018,LandScan Global
Argentina,Santa Fe,3513593,2018,LandScan Global
Argentina,Santiago del Estero,963602,2018,LandScan Global
Argentina,"Tierra del Fuego, Antartida e Islas del Atlantico Sur",141425,2018,LandScan Global
Argentina,Tucuman,1653519,2018,LandScan Global
Armenia,Aragatsotn,123723,2018,LandScan Global
Armenia,Ararat,266202,2018,LandScan Global
Armenia,Armavir,263365,2018,LandScan Global
Armenia,Geghark'unik',237068,2018,LandScan Global
Armenia,Kotayk',295421,2018,LandScan Global
Armenia,Lorri,226137,2018,LandScan Global
Armenia,Shirak,239993,2018,LandScan Global
Armenia,Syunik',140008,2018,LandScan Global
Armenia,Tavush,125431,2018,LandScan Global
Armenia,Vayots' Dzor,50872,2018,LandScan Global
Armenia,Yerevan,1066871,2018,LandScan Global
Australia,Australian Capital Territory,388757,2018,LandScan Global
Australia,New South Wales,7497866,2018,LandScan Global
Australia,Northern Territory,224544,2018,LandScan Global
Australia,Jervis Bay,4254,2018,LandScan Global
Australia,Queensland,4683283,2018,LandScan Global
Australia,South Australia,1731829,2018,LandScan Global
Australia,Tasmania,526238,2018,LandScan Global
Australia,Victoria,5807101,2018,LandScan Global
Australia,Western Australia,2419570,2018,LandScan Global
Austria,Burgenland,298525,2018,LandScan Global
Austria,Karnten,556418,2018,LandScan Global
Austria,Niederosterreich,1704431,2018,LandScan Global
Austria,Oberosterreich,1473780,2018,LandScan Global
Austria,Salzburg,552678,2018,LandScan Global
Austria,Steiermark,1230477,2018,LandScan Global
Austria,Tirol,751628,2018,LandScan Global
Austria,Vorarlberg,383846,2018,LandScan Global
Austria,Wien,1843885,2018,LandScan Global
Bangladesh,Barisal,9243688,2018,LandScan Global
Bangladesh,Chittagong,32279551,2018,LandScan Global
Bangladesh,Dhaka,40354018,2018,LandScan Global
Bangladesh,Khulna,17411975,2018,LandScan Global
Bangladesh,Mymensingh,12114978,2018,LandScan Global
Bangladesh,Rajshahi,20514602,2018,LandScan Global
Bangladesh,Rangpur,17448629,2018,LandScan Global
Bangladesh,Sylhet,10892238,2018,LandScan Global
Belarus,Brestskaya Voblasts',1390549,2018,LandScan Global
Belarus,Homyel'skaya Voblasts',1420070,2018,LandScan Global
Belarus,Hrodzyenskaya Voblasts',1048075,2018,LandScan Global
Belarus,Minskaya Voblasts',1508353,2018,LandScan Global
Belarus,Minsk,1915492,2018,LandScan Global
Belarus,Mahilyowskaya Voblasts',1062936,2018,LandScan Global
Belarus,Vitsyebskaya Voblasts',1184890,2018,LandScan Global
Belgium,Flanders,6623089,2018,LandScan Global
Belgium,Wallonia,3700258,2018,LandScan Global
Belgium,Brussels-Capital Region,1224327,2018,LandScan Global
Belize,Belize,113457,2018,LandScan Global
Belize,Cayo,93574,2018,LandScan Global
Belize,Corozal,47176,2018,LandScan Global
Belize,Orange Walk,52538,2018,LandScan Global
Belize,Stann Creek,39582,2018,LandScan Global
Belize,Toledo,36223,2018,LandScan Global
Benin,Alibori,995673,2018,LandScan Global
Benin,Atacora,868563,2018,LandScan Global
Benin,Atlantique,1518891,2018,LandScan Global
Benin,Borgou,1371485,2018,LandScan Global
Benin,Collines,813066,2018,LandScan Global
Benin,Couffo,834021,2018,LandScan Global
Benin,Donga,618091,2018,LandScan Global
Benin,Littoral,842647,2018,LandScan Global
Benin,Mono,552362,2018,LandScan Global
Benin,Oueme,1232255,2018,LandScan Global
Benin,Plateau,689609,2018,LandScan Global
Benin,Zou,959415,2018,LandScan Global
Bolivia,Chuquisaca,649310,2018,LandScan Global
Bolivia,Cochabamba,1981803,2018,LandScan Global
Bolivia,El Beni,478586,2018,LandScan Global
Bolivia,La Paz,3048267,2018,LandScan Global
Bolivia,Oruro,559752,2018,LandScan Global
Bolivia,Pando,130289,2018,LandScan Global
Bolivia,Potosi,914417,2018,LandScan Global
Bolivia,Santa Cruz,2991435,2018,LandScan Global
Bolivia,Tarija,533943,2018,LandScan Global
Bosnia and Herzegovina,Brcko District,90922,2018,LandScan Global
Bosnia and Herzegovina,"Bosnia and Herzegovina, Federation of",2367407,2018,LandScan Global
Bosnia and Herzegovina,"Srpska, Republika",1403007,2018,LandScan Global
Brazil,Acre,804752,2018,LandScan Global
Brazil,Alagoas,3263870,2018,LandScan Global
Brazil,Amapa,710421,2018,LandScan Global
Brazil,Amazonas,3831328,2018,LandScan Global
Brazil,Bahia,15151594,2018,LandScan Global
Brazil,Ceara,9253671,2018,LandScan Global
Brazil,Distrito Federal,2669421,2018,LandScan Global
Brazil,Espirito Santo,3706740,2018,LandScan Global
Brazil,Goias,6573897,2018,LandScan Global
Brazil,Maranhao,7184852,2018,LandScan Global
Brazil,Mato Grosso,3324947,2018,LandScan Global
Brazil,Mato Grosso do Sul,2667650,2018,LandScan Global
Brazil,Minas Gerais,21448154,2018,LandScan Global
Brazil,Para,8254240,2018,LandScan Global
Brazil,Paraiba,4099889,2018,LandScan Global
Brazil,Parana,11386130,2018,LandScan Global
Brazil,Pernambuco,9570761,2018,LandScan Global
Brazil,Piaui,3414253,2018,LandScan Global
Brazil,Rio de Janeiro,16961758,2018,LandScan Global
Brazil,Rio Grande do Norte,3446262,2018,LandScan Global
Brazil,Rio Grande do Sul,11614690,2018,LandScan Global
Brazil,Rondonia,1708310,2018,LandScan Global
Brazil,Roraima,491900,2018,LandScan Global
Brazil,Sao Paulo,44891881,2018,LandScan Global
Brazil,Santa Catarina,6708093,2018,LandScan Global
Brazil,Sergipe,2236663,2018,LandScan Global
Brazil,Tocantins,1513979,2018,LandScan Global
Brunei,Belait,74617,2018,LandScan Global
Brunei,Brunei and Muara,311932,2018,LandScan Global
Brunei,Temburong,10613,2018,LandScan Global
Brunei,Tutong,50774,2018,LandScan Global
Bulgaria,Blagoevgrad,304740,2018,LandScan Global
Bulgaria,Burgas,396073,2018,LandScan Global
Bulgaria,Dobrich,177694,2018,LandScan Global
Bulgaria,Gabrovo,105255,2018,LandScan Global
Bulgaria,Haskovo,239782,2018,LandScan Global
Bulgaria,Kardzhali,152817,2018,LandScan Global
Bulgaria,Kyustendil,121257,2018,LandScan Global
Bulgaria,Lovech,126067,2018,LandScan Global
Bulgaria,Montana,131451,2018,LandScan Global
Bulgaria,Pazardzhik,258617,2018,LandScan Global
Bulgaria,Pernik,125863,2018,LandScan Global
Bulgaria,Pleven,247412,2018,LandScan Global
Bulgaria,Plovdiv,663977,2018,LandScan Global
Bulgaria,Razgrad,118466,2018,LandScan Global
Bulgaria,Ruse,216319,2018,LandScan Global
Bulgaria,Shumen,164020,2018,LandScan Global
Bulgaria,Silistra,108656,2018,LandScan Global
Bulgaria,Sliven,188307,2018,LandScan Global
Bulgaria,Smolyan,101038,2018,LandScan Global
Bulgaria,Sofia,238991,2018,LandScan Global
Bulgaria,Sofia-Grad,1317111,2018,LandScan Global
Bulgaria,Stara Zagora,321227,2018,LandScan Global
Bulgaria,Targovishte,118681,2018,LandScan Global
Bulgaria,Varna,471104,2018,LandScan Global
Bulgaria,Veliko Tarnovo,243400,2018,LandScan Global
Bulgaria,Vidin,87322,2018,LandScan Global
Bulgaria,Vratsa,165887,2018,LandScan Global
Bulgaria,Yambol,120382,2018,LandScan Global
Burkina Faso,Boucle du Mouhoun,1915990,2018,LandScan Global
Burkina Faso,Cascades,809383,2018,LandScan Global
Burkina Faso,Centre,2808946,2018,LandScan Global
Burkina Faso,Centre-Est,1553573,2018,LandScan Global
Burkina Faso,Centre-Nord,1641809,2018,LandScan Global
Burkina Faso,Centre-Ouest,1604663,2018,LandScan Global
Burkina Faso,Centre-Sud,837167,2018,LandScan Global
Burkina Faso,Est,1735605,2018,LandScan Global
Burkina Faso,Hauts-Bassins,2110518,2018,LandScan Global
Burkina Faso,Nord,1582811,2018,LandScan Global
Burkina Faso,Plateau-Central,919386,2018,LandScan Global
Burkina Faso,Sahel,1353138,2018,LandScan Global
Burkina Faso,Sud-Ouest,841709,2018,LandScan Global
Burma,Ayeyarwady,6809163,2018,LandScan Global
Burma,Bago,5386852,2018,LandScan Global
Burma,Chin State,530029,2018,LandScan Global
Burma,Kachin State,1809225,2018,LandScan Global
Burma,Kayah State,326621,2018,LandScan Global
Burma,Kayin State,1649825,2018,LandScan Global
Burma,Magway,4357596,2018,LandScan Global
Burma,Mandalay,6841403,2018,LandScan Global
Burma,Mon State,2274397,2018,LandScan Global
Burma,Nay Pyi Taw,1282060,2018,LandScan Global
Burma,Rakhine State,1373455,2018,LandScan Global
Burma,Sagaing,5860110,2018,LandScan Global
Burma,Shan State,6394003,2018,LandScan Global
Burma,Tanintharyi,1514089,2018,LandScan Global
Burma,Yangon,8120063,2018,LandScan Global
Burundi,Bubanza,478325,2018,LandScan Global
Burundi,Bujumbura Rural,715903,2018,LandScan Global
Burundi,Bururi,469999,2018,LandScan Global
Burundi,Cankuzo,330808,2018,LandScan Global
Burundi,Cibitoke,675024,2018,LandScan Global
Burundi,Gitega,1061486,2018,LandScan Global
Burundi,Karuzi,655054,2018,LandScan Global
Burundi,Kayanza,855222,2018,LandScan Global
Burundi,Kirundo,906700,2018,LandScan Global
Burundi,Bujumbura Mairie,719881,2018,LandScan Global
Burundi,Makamba,640473,2018,LandScan Global
Burundi,Muramvya,433875,2018,LandScan Global
Burundi,Muyinga,920210,2018,LandScan Global
Burundi,Mwaro,410110,2018,LandScan Global
Burundi,Ngozi,972541,2018,LandScan Global
Burundi,Rumonge,525244,2018,LandScan Global
Burundi,Rutana,499097,2018,LandScan Global
Burundi,Ruyigi,586467,2018,LandScan Global
Cambodia,Banteay Meanchey,798425,2018,LandScan Global
Cambodia,Battambang,1250201,2018,LandScan Global
Cambodia,Kampong Chhnang,579005,2018,LandScan Global
Cambodia,Kampong Speu,841784,2018,LandScan Global
Cambodia,Kampong Thom,768040,2018,LandScan Global
Cambodia,Kampot,681334,2018,LandScan Global
Cambodia,Kandal,1537104,2018,LandScan Global
Cambodia,Kep,46722,2018,LandScan Global
Cambodia,Koh Kong,132363,2018,LandScan Global
Cambodia,Kratie,386124,2018,LandScan Global
Cambodia,Mondolkiri,82571,2018,LandScan Global
Cambodia,Oddar Meanchey,253931,2018,LandScan Global
Cambodia,Pailin,77574,2018,LandScan Global
Cambodia,Phnom Penh,1607329,2018,LandScan Global
Cambodia,Preah Sihanouk,272413,2018,LandScan Global
Cambodia,Preah Vihear,262229,2018,LandScan Global
Cambodia,Prey Veng,1291973,2018,LandScan Global
Cambodia,Pursat,488788,2018,LandScan Global
Cambodia,Ratanakiri,205904,2018,LandScan Global
Cambodia,Siem Reap,1036522,2018,LandScan Global
Cambodia,Stung Treng,138572,2018,LandScan Global
Cambodia,Svay Rieng,655942,2018,LandScan Global
Cambodia,Takeo,1052450,2018,LandScan Global
Cameroon,Adamaoua,1389529,2018,LandScan Global
Cameroon,Centre,4806177,2018,LandScan Global
Cameroon,Est,960093,2018,LandScan Global
Cameroon,Extreme-Nord,4683166,2018,LandScan Global
Cameroon,Littoral,3854023,2018,LandScan Global
Cameroon,Nord,2832734,2018,LandScan Global
Cameroon,North-West,2271630,2018,LandScan Global
Cameroon,Ouest,2237336,2018,LandScan Global
Cameroon,Sud,864221,2018,LandScan Global
Cameroon,South-West,1769999,2018,LandScan Global
