"st_cnty","night_pop","day_pop"
"10001","178550","183379"
"10003","559335","590671"
"10005","229286","212197"
"11001","702460","1164938"
"12001","269956","292484"
"12003","28355","24749"
"12005","185287","184215"
"12007","27732","23828"
"12009","596849","563431"
"12011","1951260","1820289"
"12013","14587","12330"
"12015","184998","167732"
"12017","147929","137202"
"12019","216072","165290"
"12021","378488","365961"
"12023","70503","69025"
"12027","37489","33086"
"12029","16700","13810"
"12031","950181","1041746"
"12033","315534","319835"
"12035","112067","90727"
"12037","11736","10662"
"12039","45894","40792"
"12041","18256","15494"
"12043","13724","10287"
"12045","16164","14590"
"12047","14310","13329"
"12049","27245","26426"
"12051","41556","38720"
"12053","190865","167482"
"12055","105424","102151"
"12057","1436888","1477714"
"12059","19477","16650"
"12061","157413","149351"
"12063","48305","46980"
"12065","14288","10970"
"12067","8732","7296"
"12069","356495","309383"
"12071","754610","710460"
"12073","292502","319896"
"12075","40770","33527"
"12077","8457","7887"
"12079","18529","16916"
"12081","394855","357261"
"12083","359977","341167"
"12085","160912","161460"
"12086","2761581","2700066"
"12087","75023","73754"
"12089","85832","70894"
"12091","207269","206795"
"12093","41537","36752"
"12095","1380645","1585120"
"12097","367990","301323"
"12099","1485941","1443850"
"12101","539630","444803"
"12103","975280","966133"
"12105","708009","659534"
"12107","74163","67130"
"12109","254261","212131"
"12111","321128","269620"
"12113","179349","138664"
"12115","426718","431527"
"12117","467832","429901"
"12119","128754","132576"
"12121","44191","38449"
"12123","21623","20267"
"12125","14940","14629"
"12127","547538","497770"
"12129","32461","23779"
"12131","71375","70353"
"12133","24880","21671"
"13001","18507","17115"
"13003","8297","6490"
"13005","11185","10554"
"13007","3092","2167"
"13009","44823","48957"
"13011","18988","14664"
"13013","80809","61877"
"13015","106408","99622"
"13017","16787","17372"
"13019","19252","15607"
"13021","153095","179928"
"13023","12838","12259"
"13025","18897","14211"
"13027","15513","11390"
"13029","38109","30147"
"13031","77296","76717"
"13033","22423","26934"
"13035","24193","20188"
"13037","6352","4855"
"13039","53677","48369"
"13043","10836","8300"
"13045","118121","110882"
"13047","67420","50692"
"13049","12968","9925"
"13051","289195","326497"
"13053","10684","12192"
"13055","24790","20551"
"13057","254149","185107"
"13059","127330","162184"
"13061","2887","2200"
"13063","289615","303191"
"13065","6648","6510"
"13067","756865","739385"
"13069","43093","43483"
"13071","45592","40968"
"13073","154291","112639"
"13075","17162","14166"
"13077","145864","116651"
"13079","12318","7929"
"13081","22601","22330"
"13083","16226","12423"
"13085","25083","23031"
"13087","26575","26264"
"13089","756558","703979"
"13091","20705","19903"
"13093","13706","12125"
"13095","91243","106770"
"13097","145331","118872"
"13099","10247","11132"
"13101","4000","2815"
"13103","62190","43239"
"13105","19120","16937"
"13107","22612","23127"
"13109","10721","11358"
"13111","25964","22147"
"13113","113459","100383"
"13115","97927","103800"
"13117","236612","202583"
"13119","23023","22679"
"13121","1050114","1466412"
"13123","30816","26800"
"13125","2995","2240"
"13127","85219","88977"
"13129","57685","54814"
"13131","24748","20852"
"13133","17698","17176"
"13135","927781","839645"
"13137","45388","44144"
"13139","202148","191246"
"13141","8348","7344"
"13143","29533","25149"
"13145","34475","22922"
"13147","26099","21584"
"13149","11879","8954"
"13151","230220","178194"
"13153","155469","153766"
"13155","9398","8610"
"13157","70422","63603"
"13159","14040","10211"
"13161","15029","13393"
"13163","15430","14405"
"13165","8683","6814"
"13167","9708","7052"
"13169","28616","19417"
"13171","19000","17137"
"13173","10340","7372"
"13175","47325","49565"
"13177","29764","20738"
"13179","61497","57410"
"13181","7915","5392"
"13183","18998","10466"
"13185","116321","118864"
"13187","32955","34971"
"13189","21531","18783"
"13191","14340","9477"
"13193","13143","9800"
"13195","29650","20978"
"13197","8351","5597"
"13199","21068","17402"
"13201","5686","4982"
"13205","22192","21440"
"13207","27520","22542"
"13209","9193","7023"
"13211","18853","18146"
"13213","39921","34566"
"13215","194160","215391"
"13217","109541","84674"
"13219","39272","34792"
"13221","15054","9722"
"13223","164044","104909"
"13225","27297","26021"
"13227","31980","25468"
"13229","19389","14956"
"13231","18634","13035"
"13233","42470","36778"
"13235","11069","9374"
"13237","21809","20355"
"13239","2279","1957"
"13241","16867","16173"
"13243","6833","6575"
"13245","201554","236575"
"13247","90594","81008"
"13249","5236","4372"
"13251","13938","12371"
"13253","8315","8009"
"13255","66100","65867"
"13257","26035","24462"
"13259","6199","4842"
"13261","29733","29566"
"13263","6272","4072"
"13265","1608","1044"
"13267","25391","21731"
"13269","8039","6680"
"13271","15876","13806"
"13273","8611","7392"
"13275","44448","50007"
"13277","40571","46870"
"13279","26887","29003"
"13281","11852","11923"
"13283","6809","5642"
"13285","70034","77304"
"13287","7912","7099"
"13289","8188","7495"
"13291","24001","21404"
"13293","26215","22262"
"13295","69410","52249"
"13297","93503","74330"
"13299","35680","39233"
"13301","5251","4533"
"13303","20386","20872"
"13305","29808","27552"
"13307","2611","1934"
"13309","7879","7370"
"13311","29970","24764"
"13313","104062","123231"
"13315","8812","7378"
"13317","9876","9303"
"13319","9036","8975"
"13321","20299","14702"
"16001","469966","487384"
"16003","4250","3604"
"16005","87138","83304"
"16007","6050","4732"
"16009","9226","8577"
"16011","46236","39517"
"16013","22601","24527"
"16015","7634","5996"
"16017","44727","39851"
"16019","116854","114146"
"16021","11948","10504"
"16023","2611","9248"
"16025","1127","842"
"16027","223499","190608"
"16029","7060","6842"
"16031","23864","24814"
"16033","852","820"
"16035","8758","8733"
"16037","4280","3792"
"16039","27259","22714"
"16041","13726","10841"
"16043","13168","8201"
"16045","17634","13150"
"16047","15196","14132"
"16049","16513","14236"
"16051","29439","22994"
"16053","24015","21999"
"16055","161505","148766"
"16057","40134","38166"
"16059","7961","7109"
"16061","3861","4129"
"16063","5360","4269"
"16065","39304","38549"
"16067","20825","18488"
"16069","40408","43540"
"16071","4488","3532"
"16073","11693","10206"
"16075","23551","18925"
"16077","7768","7254"
"16079","12796","12550"
"16081","11640","8786"
"16083","86081","87650"
"16085","11041","10644"
"16087","10161","8759"
"17001","65691","70175"
"17003","6060","5104"
"17005","16630","13974"
"17007","53577","46629"
"17009","6556","7876"
"17011","32993","29105"
"17013","4802","3242"
"17015","14312","11508"
"17017","12260","12541"
"17019","209983","222091"
"17021","32661","29787"
"17023","15596","12621"
"17025","13253","12980"
"17027","37639","32778"
